rank,text,normalized_text,freq,class,ids
1,somet,somet,1875116,keep_full_word,"[268, 297, 315]"
2,different,different,1854344,keep_full_word,"[826, 482, 726]"
3,between,between,1758302,keep_full_word,"[752, 749, 279]"
4,market,market,1744585,keep_full_word,"[288, 584, 315]"
5,program,program,1682442,keep_full_word,"[367, 715, 330]"
6,gener,gener,1578672,keep_full_word,"[314, 279, 266]"
7,little,little,1576720,keep_full_word,"[304, 685, 294]"
8,techn,techn,1558028,keep_full_word,"[532, 350, 945]"
9,Americ,americ,1547979,keep_full_word,"[317, 640, 295]"
10,omething,omething,1544825,keep_full_word,"[297, 315, 820]"
11,ross,ross,1538575,keep_full_word,"[307, 946, 946]"
12,open,open,1531343,keep_full_word,"[283, 954, 279]"
13,custom,custom,1526107,keep_full_word,"[274, 419, 297]"
14,terest,terest,1508975,keep_full_word,"[468, 264, 308]"
15,intere,intere,1440781,keep_full_word,"[291, 468, 264]"
16,always,always,1436629,keep_full_word,"[357, 958, 575]"
17,ield,ield,1415120,keep_full_word,"[944, 334, 950]"
18,available,available,1411117,keep_full_word,"[906, 508, 501]"
19,effect,effect,1402261,keep_full_word,"[310, 956, 771]"
20,group,group,1395358,keep_full_word,"[314, 462, 954]"
21,important,important,1379593,keep_full_word,"[545, 631, 415]"
22,direct,direct,1345850,keep_full_word,"[293, 553, 316]"
23,data,data,1345054,keep_full_word,"[293, 271, 942]"
24,number,number,1338712,keep_full_word,"[312, 421, 528]"
25,since,since,1336485,keep_full_word,"[268, 262, 351]"
26,problem,problem,1317806,keep_full_word,"[367, 890, 953]"
27,public,public,1283034,keep_full_word,"[282, 563, 692]"
28,power,power,1277738,keep_full_word,"[282, 328, 266]"
29,iversity,iversity,1246414,keep_full_word,"[944, 667, 409]"
30,against,against,1230981,keep_full_word,"[632, 430, 308]"
31,simp,simp,1197576,keep_full_word,"[268, 336, 954]"
32,belie,belie,1196708,keep_full_word,"[326, 949, 441]"
33,order,order,1188234,keep_full_word,"[386, 950, 266]"
34,chnolog,chnolog,1160814,keep_full_word,"[350, 945, 877]"
35,ribut,ribut,1160228,keep_full_word,"[405, 959, 340]"
36,current,current,1157159,keep_full_word,"[274, 343, 726]"
37,away,away,1107988,keep_full_word,"[261, 958, 324]"
38,govern,govern,1107164,keep_full_word,"[566, 338, 945]"
39,children,children,1106013,keep_full_word,"[435, 628, 660]"
40,vernment,vernment,1103425,keep_full_word,"[338, 945, 391]"
41,present,present,1080347,keep_full_word,"[282, 448, 303]"
42,ference,ference,1075382,keep_full_word,"[482, 660, 351]"
43,money,money,1067343,keep_full_word,"[288, 503, 957]"
44,understand,understand,1057764,keep_full_word,"[814, 308, 436]"
45,embers,embers,1054534,keep_full_word,"[411, 959, 356]"
46,Christ,christ,1052496,keep_full_word,"[577, 947, 404]"
47,fession,fession,1051491,keep_full_word,"[956, 382, 299]"
48,course,course,1046468,keep_full_word,"[274, 378, 371]"
