rank,text,normalized_text,freq,class,ids
1,of the,of the,18367070,keep_phrase,"[292, 267]"
2,in the,in the,12963976,keep_phrase,"[291, 267]"
3,to the,to the,7837307,keep_phrase,"[287, 267]"
4,ed to,ed to,7202050,keep_phrase,"[285, 287]"
5,on the,on the,6215643,keep_phrase,"[325, 267]"
6,s and,s and,5901199,keep_phrase,"[946, 290]"
7,ing to,ing to,5795509,keep_phrase,"[280, 287]"
8,the s,the s,5588843,keep_phrase,"[267, 268]"
9,the c,the c,5372506,keep_phrase,"[267, 274]"
10,ing the,ing the,5294647,keep_phrase,"[280, 267]"
11,s of,s of,5274992,keep_phrase,"[946, 292]"
12,the p,the p,5228923,keep_phrase,"[267, 282]"
13,for the,for the,4940589,keep_phrase,"[321, 267]"
14,to be,to be,4909265,keep_phrase,"[287, 326]"
15,and the,and the,4712661,keep_phrase,"[290, 267]"
16,the m,the m,4537794,keep_phrase,"[267, 288]"
17,the f,the f,4506077,keep_phrase,"[267, 277]"
18,is a,is a,4392271,keep_phrase,"[323, 261]"
19,the ,the,4281688,keep_word,"[267, 939]"
20,s to,s to,4166229,keep_phrase,"[946, 287]"
21,ed in,ed in,4088548,keep_phrase,"[285, 291]"
22,a l,a l,4004800,keep_phrase,"[261, 304]"
23,the b,the b,3939243,keep_phrase,"[267, 281]"
24,ed by,ed by,3894464,keep_phrase,"[285, 437]"
25,with the,with the,3838871,keep_phrase,"[345, 267]"
26,at the,at the,3687815,keep_phrase,"[383, 267]"
27,ing a,ing a,3655079,keep_phrase,"[280, 261]"
28,ing.,ing.,3516164,keep_subword,"[280, 960]"
29,the l,the l,3459140,keep_phrase,"[267, 304]"
30,in a,in a,3410703,keep_phrase,"[291, 261]"
31,from the,from the,3257067,keep_phrase,"[424, 267]"
32,of a,of a,3118411,keep_phrase,"[292, 261]"
33,s in,s in,3113667,keep_phrase,"[946, 291]"
34,a s,a s,3050605,keep_phrase,"[261, 268]"
35,with a,with a,2938162,keep_phrase,"[345, 261]"
36,a p,a p,2907538,keep_phrase,"[261, 282]"
37,ed the,ed the,2896926,keep_phrase,"[285, 267]"
38,will be,will be,2837378,keep_phrase,"[434, 326]"
39,a b,a b,2772270,keep_phrase,"[261, 281]"
40,him,him,2765398,keep_word,"[298, 336]"
41,a c,a c,2740490,keep_phrase,"[261, 274]"
42,es and,es and,2688370,keep_phrase,"[276, 290]"
43,did,did,2660786,keep_word,"[293, 322]"
44,in ,in,2617021,keep_word,"[291, 939]"
45,is the,is the,2608795,keep_phrase,"[323, 267]"
46,for a,for a,2594639,keep_phrase,"[321, 261]"
47,the e,the e,2577099,keep_phrase,"[267, 310]"
48,a m,a m,2570026,keep_phrase,"[261, 288]"
49,ing and,ing and,2564014,keep_phrase,"[280, 290]"
50,as a,as a,2533095,keep_phrase,"[366, 261]"
51,such,such,2495742,keep_word,"[454, 350]"
52,think,think,2484631,keep_word,"[300, 630]"
53,But,but,2481249,keep_word,"[348, 340]"
54,the g,the g,2465151,keep_phrase,"[267, 314]"
55,of ,of,2457256,keep_word,"[292, 939]"
56,es of,es of,2428281,keep_phrase,"[276, 292]"
57,s the,s the,2418232,keep_phrase,"[946, 267]"
58,omet,omet,2413931,keep_word,"[297, 315]"
59,that the,that the,2407320,keep_phrase,"[346, 267]"
60,the d,the d,2406754,keep_phrase,"[267, 293]"
61,by the,by the,2385497,keep_phrase,"[437, 267]"
62,again,again,2363654,keep_word,"[632, 430]"
63,a f,a f,2352131,keep_phrase,"[261, 277]"
64,ener,ener,2332899,keep_word,"[279, 266]"
65,diffe,diffe,2330510,keep_word,"[826, 482]"
66,s a,s a,2318802,keep_phrase,"[946, 261]"
67,being,being,2317952,keep_word,"[326, 280]"
68,rib,rib,2303387,keep_word,"[405, 959]"
69,before,before,2299341,keep_word,"[326, 815]"
70,those,those,2291114,keep_word,"[300, 638]"
71,ing in,ing in,2289676,keep_phrase,"[280, 291]"
72,does,does,2285251,keep_word,"[480, 276]"
73,ower,ower,2275404,keep_word,"[328, 266]"
74,you can,you can,2274160,keep_phrase,"[318, 432]"
75,and ,and,2269499,keep_word,"[290, 939]"
76,pres,pres,2265879,keep_word,"[282, 448]"
77,it is,it is,2258980,keep_phrase,"[353, 323]"
78,person,person,2257081,keep_word,"[282, 827]"
79,to ,to,2256929,keep_word,"[287, 939]"
80,ient,ient,2247410,keep_word,"[944, 303]"
81,s are,s are,2242655,keep_phrase,"[946, 370]"
82,ually,ually,2225431,keep_word,"[952, 491]"
83,to a,to a,2221040,keep_phrase,"[287, 261]"
84,mark,mark,2210585,keep_word,"[288, 584]"
85,disc,disc,2203207,keep_word,"[616, 951]"
86,requ,requ,2202344,keep_word,"[311, 414]"
87,call,call,2196573,keep_word,"[274, 444]"
88,arket,arket,2191492,keep_word,"[584, 315]"
89,world,world,2191223,keep_word,"[458, 401]"
90,the st,the st,2191111,keep_phrase,"[267, 341]"
91,sur,sur,2189807,keep_word,"[268, 343]"
92,me,me,2185973,keep_word,"[953, 940]"
93,and a,and a,2184529,keep_phrase,"[290, 261]"
94,ation of,ation of,2177018,keep_phrase,"[342, 292]"
95,gen,gen,2170397,keep_word,"[314, 279]"
96,pol,pol,2168602,keep_word,"[282, 329]"
97,alk,alk,2150779,keep_word,"[286, 963]"
98,inte,inte,2141914,keep_word,"[291, 468]"
99,the t,the t,2134860,keep_phrase,"[267, 260]"
100,life,life,2131803,keep_word,"[304, 768]"
101,ank,ank,2120968,keep_word,"[284, 963]"
102,ax,ax,2109376,keep_word,"[942, 974]"
103,ving,ving,2104195,keep_word,"[961, 280]"
104,rest,rest,2103416,keep_word,"[264, 308]"
105,sim,sim,2102822,keep_word,"[268, 336]"
106,way,way,2098963,keep_word,"[958, 324]"
107,There,there,2093717,keep_word,"[352, 264]"
108,ed with,ed with,2088800,keep_phrase,"[285, 345]"
109,can be,can be,2081283,keep_phrase,"[432, 326]"
110,ale,ale,2078626,keep_word,"[286, 940]"
111,end,end,2073983,keep_word,"[310, 272]"
112,trans,trans,2071481,keep_word,"[561, 536]"
113,ffect,ffect,2064812,keep_word,"[956, 771]"
114,ng,ng,2063920,keep_word,"[945, 955]"
115,develop,develop,2063253,keep_word,"[426, 862]"
116,gram,gram,2050555,keep_word,"[715, 330]"
117,med,med,2050015,keep_word,"[288, 285]"
118,es to,es to,2046190,keep_phrase,"[276, 287]"
119,ra,ra,2044495,keep_word,"[939, 364]"
120,How,how,2040048,keep_word,"[362, 328]"
121,and p,and p,2030619,keep_phrase,"[290, 282]"
122,used,used,2026567,keep_word,"[442, 285]"
123,ing for,ing for,2024819,keep_phrase,"[280, 321]"
124,ed a,ed a,2024032,keep_phrase,"[285, 261]"
125,system,system,2020586,keep_word,"[268, 921]"
126,op,op,2015595,keep_word,"[283, 954]"
127,ins,ins,2012200,keep_word,"[262, 946]"
128,while,while,2008896,keep_word,"[368, 593]"
129,led,led,2006973,keep_word,"[949, 285]"
130,ced,ced,2006752,keep_word,"[951, 285]"
131,cre,cre,1994310,keep_word,"[274, 264]"
132,chn,chn,1991503,keep_word,"[350, 945]"
133,pen,pen,1988990,keep_word,"[954, 279]"
134,mem,mem,1987803,keep_word,"[288, 411]"
135,mod,mod,1986875,keep_word,"[288, 466]"
136,ince,ince,1985759,keep_word,"[262, 351]"
137,ather,ather,1983708,keep_word,"[271, 389]"
138,ave,ave,1975884,keep_word,"[942, 305]"
139,sub,sub,1975458,keep_word,"[454, 959]"
140,one of,one of,1971049,keep_phrase,"[533, 292]"
141,ives,ives,1969266,keep_word,"[456, 276]"
142,arn,arn,1965293,keep_word,"[289, 945]"
143,iet,iet,1965246,keep_word,"[944, 315]"
144,ness,ness,1964837,keep_word,"[945, 382]"
145,art,art,1964470,keep_word,"[626, 941]"
146,ces,ces,1963154,keep_word,"[951, 276]"
