shard_name,split,path,file_size_bytes,header_bytes,token_dtype,token_count,min_token,max_token,mean_token,std_token,unique_token_count,unique_token_ratio,sample_window_size,sample_count,preview_1,preview_2,top_token_1_id,top_token_1_freq,top_token_2_id,top_token_2_freq,top_token_3_id,top_token_3_freq,mean_decoded_chars,mean_decoded_words,mean_unique_words,mean_unique_word_ratio,mean_ascii_ratio,mean_whitespace_ratio,mean_digit_ratio,mean_punctuation_ratio,mean_non_printable_ratio,mean_url_hits,mean_html_hits,mean_repeated_char_hits,mean_line_count,mean_avg_line_length,score_diversity,score_noise,score_clean_prose,score_priority,rank_score_diversity_desc,rank_score_noise_desc,rank_score_clean_prose_desc,rank_score_priority_desc,rank_mean_unique_word_ratio_desc,rank_mean_unique_words_desc,rank_mean_ascii_ratio_desc,rank_unique_token_count_desc,rank_std_token_desc,rank_mean_url_hits_asc,rank_mean_html_hits_asc,rank_mean_repeated_char_hits_asc,rank_mean_non_printable_ratio_asc,rank_mean_digit_ratio_asc
fineweb_train_000004.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000004.bin,200001024,1024,uint16,100000000,1,1023,560.45017425,277.17509765160116,885,8.85e-06,256,32,"shows the shooting. “This is murder,” lawyer Lee Merritt said. “Mr. Arbery had not committed any crime and there was no reason for these men to believe they had the right to stop him with weapons or to use deadly force in furtherance of the","ical issues, at least given current drone technology. The most basic may be fuel: the kind of small, relatively inexpensive drone we're talking about can't hold much, so it can't lift a lot of weight or go all that far (it wouldn't be cost-",960,0.02150877,962,0.02103052,267,0.01879419,644.375,113.4375,82.40625,0.7290551801356616,0.9969900376607945,0.1709000790049091,0.004629680475741623,0.026984966883885013,0.0,0.0,0.0,0.0,1.0,644.375,1.1403967344088701,-0.5104911984699539,1.011347308875268,1.248091469829873,4.0,80.0,1.0,1.0,22.0,1.0,46.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0
fineweb_train_000034.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000034.bin,200001024,1024,uint16,100000000,1,1023,559.7870317,276.7506065259897,887,8.87e-06,256,32,"ider approving their variance application.” Commissioner Ron Maez asked if all of the required conditions were already being met, Dickhoff confirmed they were, and Commissioner Bobby Hart asked for a description of the sewer connection agre",eves to help Habitat build the townhomes during a volunteer day on March 26th. Media are invited to attend. Photo and interview opportunities will be available. WHAT: Denver Housing Authority staff helping build Habitat homes in the collabo,960,0.02128346,962,0.02087498,267,0.01866294,637.0625,112.9375,81.96875,0.7298492858767449,0.9959157010280528,0.17111023788379462,0.005684017884906622,0.02996850013634223,0.0,0.0,0.0,0.0,1.0,637.0625,1.2264159375771466,-0.4830828423191608,0.8711550288804197,1.2001014326056532,1.0,79.0,2.0,2.0,20.0,2.0,67.0,8.0,14.0,1.0,1.0,1.0,1.0,2.0
fineweb_train_000071.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000071.bin,200001024,1024,uint16,100000000,1,1023,558.79133457,276.301672606715,887,8.87e-06,256,32,"are have been spared the treatment meted out to the likes of Pietersen and Rathbone. Not a peep has been heard about several cricketers' decisions to impersonate Europeans on the county circuit, and Tiaan Strauss and Pieter de Villiers enjo","luding wickedly satirical attacks on his own Midwestern nuclear family in the 1970s. Even if the show has none of the intellectual rigor of Spaulding Gray's monologues, Parris creates a guileless figure who acts as a filter and canvas for t",960,0.02125747,962,0.02068842,267,0.01865378,644.6875,109.125,79.625,0.7348851822354118,0.997120690761748,0.1630481524394536,0.006941628841518884,0.0278079782852267,0.0,0.0,0.0,0.0,1.0,644.6875,0.8927780744849171,-0.45039022542219714,0.7861362377135552,0.9917616431584371,6.0,73.0,3.0,3.0,9.0,7.0,39.0,8.0,47.0,1.0,1.0,1.0,1.0,10.0
fineweb_train_000001.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000001.bin,200001024,1024,uint16,100000000,1,1023,560.1195874,276.8380795753246,888,8.88e-06,256,32,"WE AND INSANELY JEALOUS. – I seriously can’t believe the wookiees and the trandoshans are still going at it tho. – I may be mistaken, but I love that they finally got Lego jawas to say something besides just “uttini”. THROWN INTO BATTLE: Ho",exactly counts as “gaming”? That’s what will determine how useful this is. Does it really detect all games and how does it do that? Only exclusive fullscreen? How about borderless or windowed?” One of the answers that he got was “Probably t,960,0.02136145,962,0.02092982,267,0.01874406,618.75,109.625,79.9375,0.7316818950070357,0.9942938118262926,0.1708932960403863,0.008177172529288533,0.03656627170353765,0.0,0.0,0.0,0.0,1.0,618.75,1.2222538598177346,-0.4182712650781131,0.507802672683988,0.9757006496715136,2.0,69.0,10.0,4.0,14.0,5.0,76.0,1.0,8.0,1.0,1.0,1.0,1.0,18.0
fineweb_train_000047.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000047.bin,200001024,1024,uint16,100000000,1,1023,558.96995344,276.2075182206383,887,8.87e-06,256,32,ed repo from where to base the contribution. This is usually master. - Make commits of logical units. - Make sure commit messages are in the proper format (see below). - Push changes in a topic branch to a personal fork of the repository. -,"ter to avoid artificial patterns to appear in images. - Better image quality: Is equipped with a larger and more technologically advanced sensor. - Richer colors: The sensor size advantage translates into images with better, more accurate c",960,0.02131179,962,0.02077772,267,0.01855462,631.6875,106.4375,78.03125,0.7419346981910498,0.9978758774785373,0.16314586948749885,0.00918059458045663,0.032065575684563925,0.0,0.0,0.0,0.0,1.0,631.6875,0.8839157771244615,-0.39218649495717484,0.7552611027306861,0.9504209794428963,7.0,65.0,6.0,5.0,5.0,26.0,14.0,8.0,54.0,1.0,1.0,1.0,1.0,27.0
fineweb_train_000074.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000074.bin,200001024,1024,uint16,100000000,1,1023,559.53525042,276.6859312588334,887,8.87e-06,256,32,"Xbox, Yukon XL, UberX). Names like Gas-X and Clean-X play with X as ex, or “former,” with X perhaps additionally calling up advanced technology, thanks to the letter’s “unknown” (read futuristic) resonances. The unknown is also uncertain, w","itedStylus Photo R340 Cartridge prices starting at $8.95 Edit and print your photos without a PC—the Epson Stylus Photo R340 makes this possible for you, thanks to its premium photo viewer and direct photo printing feature. Whether you've s",960,0.02127427,962,0.02092266,267,0.01876906,637.09375,113.65625,81.25,0.7186345365331552,0.9983934674065013,0.17158337235470017,0.00576040673434143,0.02907200918927429,0.0,0.0,0.0,0.0,1.0,637.09375,0.7272857065983028,-0.48109705221718896,0.7769825258514667,0.9230029254635591,10.0,78.0,4.0,6.0,41.0,3.0,2.0,8.0,19.0,1.0,1.0,1.0,1.0,3.0
fineweb_train_000026.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000026.bin,200001024,1024,uint16,100000000,1,1023,559.6425995,276.57838976731824,886,8.86e-06,256,32,"athus Game Description:- ★★Compsognathus was bornd★★ Play as real Compsognathus and survive in the wildness as long as you can. Journey to a hidden, untouched Jurassic island and kill the most ferocious animals in history. Encounter Jurassi","ontact Paul Breau @ firstname.lastname@example.org for details.Support Theatre In The Grove Your support helps TITG bring vibrant live theatre to the audiences of Western Washington County. Recently, the TITG Board replaced the roof on our ",960,0.02144627,962,0.02092178,267,0.01870755,615.65625,105.34375,77.15625,0.7401506043619365,0.9981364290156066,0.16493771770457896,0.013059223967847684,0.032381105906883347,0.0,0.0,0.0,0.0,1.0,615.65625,0.7264110466227478,-0.29135837797824843,0.5516884869115721,0.7322890710739881,11.0,51.0,8.0,7.0,6.0,42.0,6.0,31.0,28.0,1.0,1.0,1.0,1.0,63.0
fineweb_train_000041.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000041.bin,200001024,1024,uint16,100000000,1,1023,559.37954997,276.43882171115234,886,8.86e-06,256,32,"Him with sincere hearts, in both good times and bad—and to remember His faithfulness. When crises are over and time has elapsed, it's important to remember how God met our needs. Most of the stories told at the memorial event were about peo","nice to ask your hairdresser’s guidance to find out which length is ideal. Rate this content! Average rating: 5 Total Votes: 1 Haircut with Fringe 2020: Trend, PHOTOS Thanks for visiting we hope our article HAIRCUT WITH FRANGES 2020 → Trend",960,0.02123869,962,0.02096164,267,0.0188515,629.9375,108.875,79.21875,0.7339866945716366,0.9965476583295476,0.16555212734891794,0.007979392632823436,0.030797276225266183,0.0,0.03125,0.0,0.0,1.0,629.9375,0.7189055349396439,-0.1543943114420193,0.5669028458892151,0.6893420649666149,12.0,40.0,7.0,8.0,11.0,13.0,55.0,31.0,40.0,50.0,1.0,1.0,1.0,16.0
fineweb_train_000030.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000030.bin,200001024,1024,uint16,100000000,1,1023,559.66364492,277.11181901394997,887,8.87e-06,256,32,"6-82. Koppad, S. et al. (2011) Calcium phosphate coupled Newcastle disease vaccine elicits humoral and cell mediated immune responses in chickens. Res Vet Sci. 91 (3): 384-90. Rezar, V. et al. (2007) Dose-dependent effects of T-2 toxin on p","for come-uppance and painful destruction. Unlike the scenes of masses perishing (the critically savaged ""Armageddon"" opens with asteroid fragments showering down on New York, and rather gratuitously lays waste to Paris in the late-going), t",960,0.02124569,962,0.02102105,267,0.01880381,619.875,104.21875,76.75,0.7435353763476698,0.9943786835396199,0.16228189859585299,0.009626462476637397,0.034440147625487916,0.0,0.0,0.0,0.125,1.0,619.875,1.1846887601728076,0.47167758822540334,0.3727172834532087,0.5730172920981371,3.0,13.0,16.0,9.0,3.0,49.0,75.0,8.0,3.0,1.0,1.0,79.0,1.0,35.0
fineweb_train_000032.bin,train,/Users/kurtisstuckert/parameter-golf/data/datasets/fineweb10B_sp1024/fineweb_train_000032.bin,200001024,1024,uint16,100000000,1,1023,559.41025464,276.56821923046465,886,8.86e-06,256,32,"the constitutions and bylaws of RI.Langley, a quaint Vancouver suburb, is home to this 100% smoke free Holiday Inn Express with free high-speed Internet access in every room. Located minutes off Trans Canada Hwy 1 & Golden Ears Bridge the H","lyo workout again, and by the end of it, I felt like all my energy was gone. I was going through the motions of the workout. My head felt foggy, I forced myself to keep moving and finish the workout, but kind of felt dazed by the time I was",960,0.02128707,962,0.02070814,267,0.01864873,608.375,106.71875,77.8125,0.7346292538495202,0.9964817100119618,0.1676732845239483,0.011309456300691592,0.03444287120310167,0.0,0.0,0.0,0.03125,1.0,608.375,0.6195985721424698,-0.12377666137478792,0.43318025434613117,0.5603903288356593,15.0,36.0,14.0,10.0,10.0,29.0,58.0,31.0,30.0,1.0,1.0,64.0,1.0,48.0
