rank,text,normalized_text,freq,score,action,reasons,ids
1,somet,somet,1875116,-10,drop,clean_alpha;plausible_vowel_ratio;bad_suffix_shape;awkward_fragment_start;awkward_fragment_end;short_ambiguous_fragment,"[268, 297, 315]"
2,different,different,1854344,13,keep,full_word_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[826, 482, 726]"
3,between,between,1758302,18,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[752, 749, 279]"
4,market,market,1744585,16,keep,full_word_allowlist;good_stem_allowlist;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[288, 584, 315]"
5,program,program,1682442,18,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[367, 715, 330]"
6,gener,gener,1578672,-6,drop,clean_alpha;plausible_vowel_ratio;bad_suffix_shape;awkward_fragment_end;short_ambiguous_fragment,"[314, 279, 266]"
7,little,little,1576720,11,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[304, 685, 294]"
8,techn,techn,1558028,4,review_keep,good_stem_allowlist;clean_alpha;plausible_vowel_ratio;bad_suffix_shape,"[532, 350, 945]"
9,Americ,americ,1547979,-5,drop,clean_alpha;plausible_vowel_ratio;bad_suffix_shape;awkward_fragment_end,"[317, 640, 295]"
10,omething,omething,1544825,-2,drop,good_length;clean_alpha;plausible_vowel_ratio;bad_prefix_shape;useful_suffix_pattern;awkward_fragment_start,"[297, 315, 820]"
11,ross,ross,1538575,-6,drop,clean_alpha;plausible_vowel_ratio;bad_prefix_shape;awkward_fragment_end;short_ambiguous_fragment,"[307, 946, 946]"
12,open,open,1531343,11,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[283, 954, 279]"
13,custom,custom,1526107,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[274, 419, 297]"
14,terest,terest,1508975,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[468, 264, 308]"
15,intere,intere,1440781,-1,drop,clean_alpha;plausible_vowel_ratio;bad_suffix_shape,"[291, 468, 264]"
16,always,always,1436629,11,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[357, 958, 575]"
17,ield,ield,1415120,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[944, 334, 950]"
18,available,available,1411117,19,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape;useful_suffix_pattern,"[906, 508, 501]"
19,effect,effect,1402261,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[310, 956, 771]"
20,group,group,1395358,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[314, 462, 954]"
21,important,important,1379593,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[545, 631, 415]"
22,direct,direct,1345850,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[293, 553, 316]"
23,data,data,1345054,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[293, 271, 942]"
24,number,number,1338712,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[312, 421, 528]"
25,since,since,1336485,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[268, 262, 351]"
26,problem,problem,1317806,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[367, 890, 953]"
27,public,public,1283034,16,keep,full_word_allowlist;good_stem_allowlist;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[282, 563, 692]"
28,power,power,1277738,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[282, 328, 266]"
29,iversity,iversity,1246414,2,review_keep,good_length;clean_alpha;plausible_vowel_ratio;bad_prefix_shape;useful_suffix_pattern,"[944, 667, 409]"
30,against,against,1230981,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[632, 430, 308]"
31,simp,simp,1197576,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[268, 336, 954]"
