rank,text,normalized_text,freq,class,ids
1,the same,the same,1521922,keep_short_phrase,"[267, 268, 526]"
2,such as,such as,1247950,keep_short_phrase,"[454, 350, 366]"
3,able to,able to,1233618,keep_short_phrase,"[455, 294, 287]"
4,the world,the world,1190895,keep_short_phrase,"[267, 458, 401]"
5,going to,going to,1188103,keep_short_phrase,"[566, 280, 287]"
6,a lot,a lot,1156810,keep_short_phrase,"[261, 304, 327]"
7,one of the,one of the,1149141,keep_short_phrase,"[533, 292, 267]"
8,a few,a few,1105439,keep_short_phrase,"[261, 557, 958]"
9,as well as,as well as,1072668,keep_short_phrase,"[366, 747, 366]"
10,ed in the,ed in the,960402,keep_short_phrase,"[285, 291, 267]"
11,ed by the,ed by the,950998,keep_short_phrase,"[285, 437, 267]"
12,umber of,umber of,889350,keep_short_phrase,"[421, 528, 292]"
13,lot of,lot of,855244,keep_short_phrase,"[304, 327, 292]"
14,s of the,s of the,850790,keep_short_phrase,"[946, 292, 267]"
15,ording to,ording to,840902,keep_short_phrase,"[642, 280, 287]"
16,s in the,s in the,794379,keep_short_phrase,"[946, 291, 267]"
17,a litt,a litt,772513,keep_short_phrase,"[261, 304, 685]"
18,There are,there are,708338,keep_short_phrase,"[352, 264, 370]"
19,I think,i think,706231,keep_short_phrase,"[309, 300, 630]"
20,the end,the end,666277,keep_short_phrase,"[267, 310, 272]"
